Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
ymdb,Adenosine triphosphate-p1,C10H16N5O13P3,[M-H]-,-1,505.9893,-1,188.3
ymdb,Allantoin-p1,C4H6N4O3,[M-H]-,-1,157.0373,-1,126.7
ymdb,Astilbin-p1,C21H22O11,[M+H]+,1,451.124,1,204.6
ymdb,Astilbin-p1,C21H22O11,[M-H]-,-1,449.1084,-1,197.7
ymdb,Beta-pseudouridine-p1,C9H12N2O6,[M-H]-,-1,243.0617,-1,150.3
ymdb,Betaine-p1,C5H11NO2,[M+H]+,1,118.0868,1,121.1
ymdb,Biotin-p1,C10H16N2O3S,[M+H]+,1,245.0959,1,151.4
ymdb,Biotin-p1,C10H16N2O3S,[M-H]-,-1,243.0835,-1,157.1
ymdb,CDP-p1,C9H15N3O11P2,[M+H]+,1,404.0233,1,175.6
ymdb,CDP-p1,C9H15N3O11P2,[M-H]-,-1,402.0119,-1,174.2
ymdb,CDP-Ethanolamine-p1,C11H20N4O11P2,[M-H]-,-1,445.0534,-1,188.1
ymdb,Caffeic acid-p1,C9H8O4,[M-H]-,-1,179.0355,-1,133.2
ymdb,Camphene-p1,C10H16,[M+H]+,1,137.133,1,129.8
ymdb,Carnosine-p1,C9H14N4O3,[M+H]+,1,227.115,1,150.8
ymdb,Carnosine-p1,C9H14N4O3,[M-H]-,-1,225.1008,-1,153.1
ymdb,Catechin-p1,C15H14O6,[M+H]+,1,291.0869,1,164.1
ymdb,Catechin-p1,C15H14O6,[M-H]-,-1,289.0712,-1,159.4
ymdb,Cellobiose-p1,C12H22O11,[M-H]-,-1,341.1076,-1,179.7
ymdb,Cinnamaldehyde-p1,C9H8O,[M+H]+,1,133.0653,1,121.5
ymdb,Cinnamic acid-p1,C9H8O2,[M+H]+,1,149.0603,1,144.4
ymdb,Citicoline-p1,C14H26N4O11P2,[M+H]+,1,489.1105,1,198.5
ymdb,Citicoline-p1,C14H26N4O11P2,[M-H]-,-1,487.1,-1,205.9
ymdb,Citric acid-p1,C6H8O7,[M-H]-,-1,191.0213,-1,128.1
ymdb,Citrulline-p1,C6H13N3O3,[M+H]+,1,176.1028,1,137.7
ymdb,Citrulline-p1,C6H13N3O3,[M-H]-,-1,174.0898,-1,135.5
ymdb,Cytidine-p1,C9H13N3O5,[M+H]+,1,244.0927,1,151.6
ymdb,Cytidine-p1,C9H13N3O5,[M-H]-,-1,242.0804,-1,150.0
ymdb,Cytidine monophosphate-p1,C9H14N3O8P,[M+H]+,1,324.0578,1,167.1
ymdb,Cytidine monophosphate-p1,C9H14N3O8P,[M-H]-,-1,322.0439,-1,165.1
ymdb,Cytidine triphosphate-p1,C9H16N3O14P3,[M+H]+,1,483.9927,1,188.5
ymdb,Cytidine triphosphate-p1,C9H16N3O14P3,[M-H]-,-1,481.9774,-1,181.1
ymdb,Cytosine-p1,C4H5N3O,[M+H]+,1,112.0509,1,117.4
ymdb,D-Erythrose 4-phosphate-p1,C4H9O7P,[M-H]-,-1,199.0008,-1,148.7
ymdb,D-Isoleucine-p1,C6H13NO2,[M+H]+,1,132.1024,1,127.6
ymdb,D-Isoleucine-p1,C6H13NO2,[M-H]-,-1,130.0868,-1,132.0
ymdb,D-Leucine-p1,C6H13NO2,[M+H]+,1,132.1024,1,127.9
ymdb,D-Leucine-p1,C6H13NO2,[M-H]-,-1,130.0868,-1,133.4
ymdb,D-Tryptophan-p1,C11H12N2O2,[M+H]+,1,205.0964,1,150.6
ymdb,D-Tryptophan-p2,C11H12N2O2,[M-H]-,-1,203.0832,-1,151.7
ymdb,D-Tryptophan-p1,C11H12N2O2,[M-H]-,-1,203.084,-1,142.6
ymdb,D-glucitol-p1,C6H14O6,[M-H]-,-1,181.071,-1,131.9
ymdb,D-mannitol-p1,C6H14O6,[M-H]-,-1,181.0714,-1,131.9
ymdb,D-mannose 6-phosphate-p1,C6H13O9P,[M-H]-,-1,259.0228,-1,146.2
ymdb,DL-Pipecolic acid-p1,C6H11NO2,[M+H]+,1,130.0865,1,127.4
ymdb,DL-Pipecolic acid-p1,C6H11NO2,[M-H]-,-1,128.0717,-1,129.3
ymdb,Deoxyuridine triphosphate-p1,C9H15N2O14P3,[M-H]-,-1,466.9659,-1,178.5
ymdb,Diaminopimelic acid-p1,C7H14N2O4,[M+H]+,1,191.1012,1,141.4
ymdb,Diaminopimelic acid-p1,C7H14N2O4,[M-H]-,-1,189.0886,-1,138.2
ymdb,Dimethyl-L-arginine-p1,C8H18N4O2,[M+H]+,1,203.1491,1,144.4
ymdb,Dimethyl-L-arginine-p1,C8H18N4O2,[M-H]-,-1,201.1361,-1,148.1
ymdb,Diphenylketone-p1,C13H10O,[M+H]+,1,183.081,1,138.3
ymdb,Dodecanoylcarnitine-p1,C19H37NO4,[M+H]+,1,344.2782,1,199.5
ymdb,FAD-p1,C27H33N9O15P2,[M+H]+,1,786.1609,1,249.2
ymdb,FAD-p1,C27H33N9O15P2,[M-H]-,-1,784.1493,-1,238.5
ymdb,Ferulic acid-p1,C10H10O4,[M-H]-,-1,193.0524,-1,140.1
ymdb,Flavin Mononucleotide-p1,C17H21N4O9P,[M+H]+,1,457.1124,1,200.2
ymdb,Flavin Mononucleotide-p1,C17H21N4O9P,[M-H]-,-1,455.0968,-1,200.1
ymdb,Folic acid-p1,C19H19N7O6,[M+H]+,1,442.1447,1,195.8
ymdb,Folic acid-p1,C19H19N7O6,[M-H]-,-1,440.1335,-1,192.1
ymdb,Fructose 6-phosphate-p1,C6H13O9P,[M-H]-,-1,259.0219,-1,146.1
ymdb,GTP-p1,C10H16N5O14P3,[M-H]-,-1,521.9834,-1,193.4
ymdb,Galactose 1-phosphate-p1,C6H13O9P,[M-H]-,-1,259.024,-1,148.2
ymdb,Geranyl-PP-p1,C10H20O7P2,[M-H]-,-1,313.0602,-1,167.5
ymdb,Gluconic acid-p1,C6H12O7,[M+H]+,1,197.0661,1,141.0
