Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
ymdb,Pyroglutamic acid-p2,C5H7NO3,[M+H]+,1,130.0492,1,130.6
ymdb,Pyroglutamic acid-p1,C5H7NO3,[M-H]-,-1,128.035,-1,124.6
ymdb,Quinolinic acid-p1,C7H5NO4,[M+H]+,1,168.0277,1,134.9
ymdb,Quinolinic acid-p1,C7H5NO4,[M-H]-,-1,166.015,-1,128.0
ymdb,Riboflavin-p1,C17H20N4O6,[M+H]+,1,377.1433,1,189.7
ymdb,Riboflavin-p1,C17H20N4O6,[M-H]-,-1,375.1309,-1,187.3
ymdb,S-Adenosyl-L-methionine-p1,C15H22N6O5S,[M+H]+,1,399.1451,1,185.6
ymdb,S-Adenosylhomocysteine-p1,C14H20N6O5S,[M+H]+,1,385.1274,1,183.0
ymdb,S-Adenosylhomocysteine-p1,C14H20N6O5S,[M-H]-,-1,383.1152,-1,186.4
ymdb,Salicylaldehyde-p1,C7H6O2,[M-H]-,-1,121.0305,-1,118.0
ymdb,Salicylic acid-p2,C7H6O3,[M-H]-,-1,137.024,-1,119.8
ymdb,Salicylurate-p1,C9H9NO4,[M-H]-,-1,194.0453,-1,137.5
ymdb,Shikimic acid-p1,C7H10O5,[M+H]+,1,175.0606,1,148.6
ymdb,Shikimic acid-p1,C7H10O5,[M-H]-,-1,173.0461,-1,137.7
ymdb,Spermidine-p1,C7H19N3,[M+H]+,1,146.1653,1,131.3
ymdb,Spermine-p1,C10H26N4,[M+H]+,1,203.2231,1,148.6
ymdb,Sphinganine-p1,C18H39NO2,[M+H]+,1,302.3046,1,188.9
ymdb,Succinic acid-p1,C4H6O4,[M+H]+,1,119.0344,1,121.9
ymdb,Succinic acid-p1,C4H6O4,[M-H]-,-1,117.0198,-1,119.1
ymdb,Sucrose-p1,C12H22O11,[M-H]-,-1,341.1084,-1,168.2
ymdb,Taurine-p1,C2H7NO3S,[M+H]+,1,126.0219,1,127.9
ymdb,Taurine-p2,C2H7NO3S,[M+H]+,1,126.0219,1,134.3
ymdb,Taurine-p1,C2H7NO3S,[M-H]-,-1,124.0085,-1,118.5
ymdb,Thiamine monophosphate-p1,C12H17N4O4PS,[M+H]+,1,345.0786,1,171.1
ymdb,Thiamine pyrophosphate-p1,C12H18N4O7P2S,[M+H]+,1,425.0434,1,182.0
ymdb,Thiamine pyrophosphate-p1,C12H18N4O7P2S,[M-H]-,-1,423.0306,-1,178.1
ymdb,Thymidine-p1,C10H14N2O5,[M-H]-,-1,241.0851,-1,154.2
ymdb,Thymine-p1,C5H6N2O2,[M+H]+,1,127.0502,1,122.1
ymdb,Thymine-p1,C5H6N2O2,[M-H]-,-1,125.0365,-1,119.5
ymdb,Trehalose-p1,C12H22O11,[M-H]-,-1,341.1084,-1,169.9
ymdb,Trehalose 6-phosphate-p1,C12H23O14P,[M-H]-,-1,421.0747,-1,180.9
ymdb,Tyramine-p1,C8H11NO,[M+H]+,1,138.0919,1,122.6
ymdb,Tyrosol-p1,C8H10O2,[M-H]-,-1,137.0603,-1,138.2
ymdb,Uracil-p1,C4H4N2O2,[M+H]+,1,113.0351,1,126.2
ymdb,Uracil-p1,C4H4N2O2,[M-H]-,-1,111.0201,-1,113.5
ymdb,Uric acid-p1,C5H4N4O3,[M+H]+,1,169.0362,1,130.5
ymdb,Uric acid-p1,C5H4N4O3,[M-H]-,-1,167.0211,-1,126.2
ymdb,Uridine-p1,C9H12N2O6,[M+H]+,1,245.0774,1,161.1
ymdb,Uridine-p1,C9H12N2O6,[M-H]-,-1,243.0631,-1,152.0
ymdb,Uridine 5'-diphosphate-p1,C9H14N2O12P2,[M+H]+,1,405.0095,1,176.5
ymdb,Uridine 5'-diphosphate-p1,C9H14N2O12P2,[M-H]-,-1,402.9956,-1,172.9
ymdb,Uridine 5'-monophosphate-p1,C9H13N2O9P,[M+H]+,1,325.0437,1,167.0
ymdb,Uridine 5'-monophosphate-p1,C9H13N2O9P,[M-H]-,-1,323.0317,-1,162.3
ymdb,Uridine diphosphate glucuronic acid-p1,C15H22N2O18P2,[M-H]-,-1,579.0291,-1,211.9
ymdb,Uridine triphosphate-p1,C9H15N2O15P3,[M+H]+,1,484.9755,1,186.9
ymdb,Uridine triphosphate-p1,C9H15N2O15P3,[M-H]-,-1,482.9623,-1,180.1
ymdb,Xanthine-p1,C5H4N4O2,[M+H]+,1,153.0402,1,132.9
ymdb,Xanthine-p1,C5H4N4O2,[M-H]-,-1,151.0277,-1,122.2
ymdb,Xanthurenic acid-p1,C10H7NO4,[M+H]+,1,206.0446,1,140.4
ymdb,Xanthurenic acid-p1,C10H7NO4,[M-H]-,-1,204.0317,-1,134.6
ymdb,Xanthylic acid-p1,C10H13N4O9P,[M+H]+,1,365.0477,1,175.5
ymdb,Xanthylic acid-p1,C10H13N4O9P,[M-H]-,-1,363.0352,-1,166.2
ymdb,Xylitol-p1,C5H12O5,[M-H]-,-1,151.0607,-1,126.1
ymdb,alpha-D-glucose 1-phosphate-p1,C6H13O9P,[M-H]-,-1,259.0228,-1,149.7
ymdb,dAMP-p1,C10H14N5O6P,[M+H]+,1,332.076,1,168.6
ymdb,dAMP-p1,C10H14N5O6P,[M-H]-,-1,330.0603,-1,164.9
ymdb,dCDP-p1,C9H15N3O10P2,[M+H]+,1,388.0306,1,172.1
ymdb,dCDP-p1,C9H15N3O10P2,[M-H]-,-1,386.0153,-1,174.0
ymdb,dCMP-p1,C9H14N3O7P,[M+H]+,1,308.0648,1,164.5
ymdb,dCMP-p1,C9H14N3O7P,[M-H]-,-1,306.0509,-1,163.7
ymdb,dGDP-p1,C10H15N5O10P2,[M+H]+,1,428.0351,1,188.5
ymdb,dGDP-p1,C10H15N5O10P2,[M-H]-,-1,426.0233,-1,180.8
ymdb,dGTP-p1,C10H16N5O13P3,[M-H]-,-1,505.9881,-1,191.9
ymdb,dUMP-p1,C9H13N2O8P,[M-H]-,-1,307.033,-1,159.2
ymdb,glycerol 2-phosphate-p1,C3H9O6P,[M-H]-,-1,171.0071,-1,126.5
ymdb,indole-3-acetate-p1,C10H9NO2,[M+H]+,1,176.072,1,136.4
ymdb,itaconic acid-p1,C5H6O4,[M-H]-,-1,129.0192,-1,119.1
ymdb,lauric acid-p1,C12H24O2,[M-H]-,-1,199.1704,-1,154.2
ymdb,leukotriene B4-p1,C20H32O4,[M-H]-,-1,335.2222,-1,186.8
ymdb,lignoceric acid-p1,C24H48O2,[M-H]-,-1,367.3582,-1,200.9
ymdb,malonyl-CoA-p1,C24H38N7O19P3S,[M-H]-,-1,852.1078,-1,252.2
ymdb,naphthalene-p1,C10H8,[M+H]+,1,129.0704,1,119.2
ymdb,palmitoleic acid-p1,C16H30O2,[M-H]-,-1,253.2173,-1,167.8
ymdb,stearic acid-p1,C18H36O2,[M-H]-,-1,283.2643,-1,177.3
ymdb,thiamine(1+) diphosphate(1-)-p1,C12H18N4O7P2S,[M+H]+,1,425.0434,1,182.0
ymdb,thiamine(1+) diphosphate(1-)-p1,C12H18N4O7P2S,[M-H]-,-1,423.0306,-1,178.1
ymdb,trans-4-Coumaric acid-p1,C9H8O3,[M-H]-,-1,163.0402,-1,131.3
ymdb,trans-4-hydroxy-L-proline-p1,C5H9NO3,[M+H]+,1,132.064,1,127.9
ymdb,trans-4-hydroxy-L-proline-p1,C5H9NO3,[M-H]-,-1,130.0505,-1,126.7
ymdb,trans-Aconitic acid-p1,C6H6O6,[M+H]+,1,175.0243,1,152.0
ymdb,trans-Aconitic acid-p1,C6H6O6,[M-H]-,-1,173.0086,-1,131.4
ymdb,tryptophol-p1,C10H11NO,[M+H]+,1,162.0912,1,133.8
ymdb,tryptophol-p1,C10H11NO,[M-H]-,-1,160.0785,-1,133.0
ymdb,xanthosine-p1,C10H12N4O6,[M+H]+,1,285.0805,1,162.1
ymdb,xanthosine-p1,C10H12N4O6,[M-H]-,-1,283.0684,-1,159.5
